Timestamp,Value,AverageComparison,Action
2025-01-11 14:21:09,94408.0,94408.0,null
2025-01-11 14:21:10,94391.99,94399.995,achat
2025-01-11 14:21:11,94421.22,94407.06999999999,vente
2025-01-11 14:21:12,94358.03,94394.81,achat
2025-01-11 14:21:13,94358.03,94387.454,null
2025-01-11 14:21:14,94394.01,94388.54666666668,vente
2025-01-11 14:21:15,94358.03,94384.18714285715,achat
2025-01-11 14:21:16,94462.0,94393.91375,vente
2025-01-11 14:21:17,94358.03,94389.92666666668,achat
2025-01-11 14:21:18,94464.0,94397.334,vente
2025-01-11 14:21:19,94358.03,94393.76090909092,achat
2025-01-11 14:21:20,94391.99,94393.61333333334,vente
2025-01-11 14:21:21,94459.99,94398.71923076923,null
2025-01-11 14:21:22,94358.03,94395.81285714287,achat
2025-01-11 14:21:23,94358.02,94393.29333333335,null
2025-01-11 14:21:24,94358.02,94389.96133333334,null
2025-01-11 14:21:25,94358.03,94387.69733333334,null
2025-01-11 14:21:26,94391.99,94385.74866666667,vente
2025-01-11 14:21:27,94406.2,94388.95999999999,null
2025-01-11 14:21:28,94358.02,94388.95933333333,achat
2025-01-11 14:21:29,94358.03,94386.56066666667,vente
2025-01-11 14:21:30,94358.02,94386.56000000001,achat
2025-01-11 14:21:32,94358.02,94379.628,null
2025-01-11 14:21:32,94358.02,94379.62733333334,null
2025-01-11 14:21:33,94355.99,94372.42666666668,null
2025-01-11 14:21:34,94358.02,94372.426,null
2025-01-11 14:21:35,94358.03,94370.16200000001,vente
2025-01-11 14:21:36,94358.03,94363.36466666668,achat
2025-01-11 14:21:37,94358.03,94363.36466666668,null
2025-01-11 14:21:38,94391.99,94365.62933333335,vente
2025-01-11 14:21:39,94358.03,94365.63000000002,achat
2025-01-11 14:21:40,94358.03,94365.63000000002,null
2025-01-11 14:21:41,94358.03,94363.36600000001,null
2025-01-11 14:21:42,94358.03,94360.15466666668,null
2025-01-11 14:21:43,94391.99,94362.41933333334,vente
2025-01-11 14:21:44,94358.03,94362.41933333334,achat
2025-01-11 14:21:45,94358.03,94362.42000000001,null
2025-01-11 14:21:46,94358.03,94362.42066666669,null
2025-01-11 14:21:47,94358.03,94362.42133333335,null
2025-01-11 14:21:48,94358.03,94362.55733333335,null
2025-01-11 14:21:49,94355.99,94362.422,null
2025-01-11 14:21:51,94464.0,94369.48666666666,vente
2025-01-11 14:21:51,94358.03,94369.48666666668,achat
2025-01-11 14:21:52,94358.02,94369.48600000002,null
2025-01-11 14:21:53,94358.03,94367.22200000001,null
2025-01-11 14:21:54,94358.03,94367.22200000001,null
2025-01-11 14:21:55,94355.99,94367.086,null
2025-01-11 14:21:56,94358.02,94367.08533333335,null
2025-01-11 14:21:57,94358.03,94367.08533333335,null
2025-01-11 14:21:58,94358.02,94364.82066666668,null
2025-01-11 14:22:00,94391.99,94367.08466666666,vente
2025-01-11 14:22:01,94358.03,94367.08466666666,achat
2025-01-11 14:22:01,94358.02,94367.084,null
2025-01-11 14:22:02,94391.99,94369.34800000001,vente
2025-01-11 14:22:03,94391.99,94371.61200000001,null
2025-01-11 14:22:04,94358.02,94371.74733333333,achat
2025-01-11 14:22:06,94391.99,94366.94666666668,vente
2025-01-11 14:22:07,94358.03,94366.94666666668,achat
2025-01-11 14:22:07,94358.03,94366.94733333333,null
2025-01-11 14:22:09,94358.03,94366.94733333334,null
2025-01-11 14:22:10,94355.99,94366.81133333335,null
2025-01-11 14:22:11,94358.03,94366.94733333333,null
2025-01-11 14:22:12,94358.02,94366.94733333333,null
2025-01-11 14:22:13,94358.02,94366.94666666668,null
2025-01-11 14:22:14,94358.02,94366.94666666668,null
2025-01-11 14:22:15,94358.03,94364.68266666667,null
2025-01-11 14:22:16,94358.02,94364.68200000002,null
2025-01-11 14:22:17,94358.03,94364.68266666667,null
2025-01-11 14:22:18,94358.02,94362.41800000002,null
2025-01-11 14:22:19,94358.02,94360.15333333335,null
2025-01-11 14:22:20,94358.03,94360.15400000002,null
2025-01-11 14:22:21,94358.02,94357.88933333334,null
2025-01-11 14:22:22,94355.99,94357.75333333334,null
2025-01-11 14:22:23,94358.03,94357.75333333336,null
2025-01-11 14:22:24,94358.03,94357.75333333336,null
2025-01-11 14:22:25,94358.03,94357.88933333335,null
2025-01-11 14:22:26,94391.99,94360.15333333334,vente
2025-01-11 14:22:27,94355.99,94360.018,achat
2025-01-11 14:22:28,94358.02,94360.018,vente
2025-01-11 14:22:29,94358.03,94360.01866666669,achat
2025-01-11 14:22:30,94358.03,94360.01866666669,null
2025-01-11 14:22:31,94355.99,94359.88333333333,null
2025-01-11 14:22:32,94358.03,94359.88333333333,null
2025-01-11 14:22:33,94358.03,94359.884,null
2025-01-11 14:22:34,94355.99,94359.74866666668,null
2025-01-11 14:22:35,94355.99,94359.61266666668,null
2025-01-11 14:22:36,94358.03,94359.61333333334,null
2025-01-11 14:22:37,94358.03,94359.74933333336,null
2025-01-11 14:22:38,94355.99,94359.61333333334,null
2025-01-11 14:22:40,94355.99,94359.47733333334,null
2025-01-11 14:22:40,94355.99,94359.34133333334,null
2025-01-11 14:22:41,94358.02,94357.07666666668,null
2025-01-11 14:22:42,94358.03,94357.21266666667,null
2025-01-11 14:22:43,94358.02,94357.21266666667,null
2025-01-11 14:22:44,94358.03,94357.21266666667,null
2025-01-11 14:22:45,94344.0,94356.27733333335,null
2025-01-11 14:22:46,94358.02,94356.41266666666,null
2025-01-11 14:22:47,94344.0,94355.47733333334,null
2025-01-11 14:22:48,94358.03,94355.47733333334,null
2025-01-11 14:22:49,94358.03,94355.61333333334,null
2025-01-11 14:22:50,94358.03,94355.74933333333,null
2025-01-11 14:22:52,94355.99,94355.61333333334,null
2025-01-11 14:22:52,94358.03,94355.61333333334,null
2025-01-11 14:22:53,94358.03,94355.74933333336,null
2025-01-11 14:22:54,94358.03,94355.88533333335,null
2025-01-11 14:22:55,94358.03,94356.02133333334,null
2025-01-11 14:22:56,94358.03,94356.02200000001,null
2025-01-11 14:22:57,94358.02,94356.02133333334,null
2025-01-11 14:22:58,94358.03,94356.02200000001,null
2025-01-11 14:22:59,94358.03,94356.02200000003,null
2025-01-11 14:23:00,94344.0,94356.02200000003,null
2025-01-11 14:23:02,94358.03,94356.02266666667,null
2025-01-11 14:23:03,94344.0,94356.02266666667,null
2025-01-11 14:23:03,94358.03,94356.02266666669,null
2025-01-11 14:23:04,94358.03,94356.02266666669,null
2025-01-11 14:23:05,94358.03,94356.02266666669,null
2025-01-11 14:23:06,94358.03,94356.15866666667,null
